Id,Name,Description,PlayerType,Image,ResourceId,ResourceAmount,Effect,IsEndTurn,UseImmediately,CardNeededId,CardDeckType,RewardResourceId,RewardResourceAmount
1,Ship Surge,Raise the rates on maritime routes Money and increase shipping amount Water.,Corporation,Ship,Water,-2,None,TRUE,FALSE,,,,
,,,,,Money,1,,,,,,,
2,Chop Chop Chaos,Cut down more trees Wood for a greater materials Money.,Corporation,Deforestation,Wood,-2,None,TRUE,FALSE,,,,
,,,,,Money,1,,,,,,,
3,Industrial Invasion,"Expand your factory Wood Money, but it will pollute more rivers Water.",Corporation,Industry,Wood,-1,None,TRUE,FALSE,,,,
,,,,,Water,-2,None,TRUE,FALSE,,,,
,,,,,Money,2,,,,,,,
4,Wasteland,Increase profits Money without efficient waste management Water.,Corporation,Water Pip,Water,-2,None,TRUE,FALSE,,,,
,,,,,Money,1,,,,,,,
5,Small Industry,Build your factory Wood Water Money .,Corporation,Small Industry,Wood,-2,None,TRUE,FALSE,,,,
,,,,,Water,-1,,,,,,,
,,,,,Money,2,,,,,,,
